04.12.2018 19:56:44         rationAll
     ,                  ,Компонент ,0        ,1              ,2                 ,3             ,4        ,5      ,6        ,7       ,8         ,9               ,10                ,11    ,12         ,13    ,14         ,15    ,16         ,17      ,18      ,19      ,20      ,21      ,22     ,23      ,24     ,25    ,26    ,27     ,28        ,29  ,30      ,31         ,32          ,33      ,34      ,35          ,36         ,37         ,38            ,39        ,40            ,41     ,42       ,43          ,44      ,45      ,46      ,47       ,48       ,49       ,50      ,51        ,52       ,53    ,54      ,55     ,56      ,57        ,58     ,59     ,60         ,61       ,62    ,63 ,64 ,65 ,66 ,67 ,68 ,69 ,70 ,71 ,72 ,73 ,74 ,75 ,76 ,77 ,78 ,79 ,80 ,81 ,82 ,83 ,84 ,85 ,86 ,87 ,88 ,89 ,90 ,91 ,92 ,93 ,94 ,95 ,96 ,97 ,98 ,99 ,100 ,101 ,102 ,103 ,104 ,105 ,106 ,107 ,108 ,109 ,110 ,111 ,112 ,113 ,114 ,115 ,116 ,117 ,118 ,119 ,120 ,121 ,122 ,123 ,124 ,125 ,126 ,127 ,128 ,129 ,130 ,131 ,132 ,133 ,134 ,135 ,136 ,137 ,138 ,139 ,140 ,141 ,142 ,143 ,144 ,145 ,146 ,147 ,148 ,149 ,150
     ,                  ,Имя       ,Цена     ,Сухое Вещество ,Натуральное Вещес ,Сырой протеин ,иСП(nXP) ,ОЭ Мдж ,ОЭ Мкалл ,ЧЭЛ Мдж ,ЧЭЛ Мкалл ,Сырая клетчатка ,Структур клетчатк ,NDF   ,Forage NDF ,ADF   ,Forage ADF ,ADL   ,Forage ADL ,Жир     ,Сахар   ,Крахмал ,Зола    ,Кальций ,Фосфор ,Натрий  ,Калий  ,Вит А ,Вит Б ,Вит Д3 ,Вит Е     ,БАР ,Добавки ,Покуп. кг. ,Покуп. руб. ,Salt    ,Soda    ,Концентраты ,К и Д Н.В. ,ГрубыйН.В. ,Концентрат СВ ,Грубые СВ ,Вода в кормах ,Selen  ,К и Д СВ ,Норзульфазо ,Magn    ,Na      ,Fe      ,Margn    ,Zn       ,Cu       ,I       ,нСП (UDP) ,VEM      ,DVE   ,OEB+    ,OEB-   ,АКБ+    ,АКБ-      ,RNB+   ,RNB-   ,Абсорбент! ,Monensin ,SP    ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
Корм ,Имя               ,Единица   ,руб.     ,кг.            ,кг.               ,кг.           ,кг.      ,Мдж.   ,Мкалл    ,Мдж.    ,Мкалл     ,кг.             ,кг.               ,кг.   ,кг.        ,кг.   ,кг.        ,кг.   ,кг.        ,грамм   ,грамм   ,грамм   ,грамм   ,грамм   ,грамм  ,грамм   ,грамм  ,мл.IU ,мл.IU ,мл.IU  ,мг.       ,+-  ,кг.     ,кг.        ,руб.        ,грамм   ,грамм   ,кг.         ,кг.        ,кг.        ,кг.           ,кг.       ,кг.           ,мг.    ,         ,кг.         ,грамм   ,грамм   ,мг.     ,мг.      ,мг.      ,мг.      ,мг.     ,кг.       ,ед.      ,кг.   ,+       ,-      ,+       ,-         ,+      ,-      ,кг.        ,кг.      ,кг.   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
1    ,Ячмень            ,кг.       ,10.000   ,0.900          ,1.000             ,0.103         ,0.145    ,11.610 ,2.772    ,7.020   ,1.676     ,0.039           ,                  ,0.157 ,           ,      ,           ,      ,           ,22.500  ,36.000  ,449.100 ,31.500  ,0.450   ,3.600  ,0.090   ,5.670  ,      ,      ,       ,          ,    ,        ,           ,            ,        ,        ,0.989       ,0.989      ,           ,0.900         ,          ,              ,       ,0.900    ,            ,        ,0.090   ,52.200  ,17.100   ,24.300   ,5.400    ,        ,0.026     ,990.900  ,0.078 ,        ,23.400 ,        ,90.000    ,       ,6.300  ,           ,         ,0.013 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
2    ,Пшеница           ,кг.       ,10.000   ,0.900          ,1.000             ,0.099         ,0.148    ,12.150 ,2.901    ,7.650   ,1.827     ,0.027           ,                  ,0.133 ,           ,0.035 ,           ,0.007 ,           ,14.400  ,28.800  ,618.300 ,13.500  ,0.360   ,3.780  ,        ,4.860  ,      ,      ,       ,          ,    ,        ,           ,            ,        ,        ,1.000       ,1.000      ,           ,0.900         ,          ,              ,       ,0.900    ,            ,        ,        ,        ,         ,         ,         ,        ,0.021     ,1072.800 ,0.081 ,        ,24.300 ,        ,          ,       ,7.200  ,           ,         ,0.016 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
3    ,Кукуруза          ,кг.       ,10.000   ,0.900          ,1.000             ,0.072         ,0.150    ,11.970 ,2.858    ,7.650   ,1.827     ,0.021           ,                  ,0.101 ,           ,0.030 ,           ,      ,           ,36.900  ,20.700  ,600.300 ,14.400  ,0.090   ,2.700  ,0.090   ,3.690  ,      ,      ,       ,          ,    ,        ,           ,            ,        ,        ,0.957       ,0.957      ,           ,0.900         ,          ,              ,       ,0.900    ,            ,        ,0.090   ,27.900  ,6.300    ,18.900   ,         ,0.090   ,0.036     ,1127.700 ,0.080 ,        ,45.000 ,        ,          ,       ,10.800 ,           ,         ,0.013 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
4    ,Бентонит          ,кг.       ,6.500    ,0.900          ,1.000             ,              ,         ,       ,         ,        ,          ,                ,                  ,      ,           ,      ,           ,      ,           ,        ,        ,        ,720.000 ,        ,       ,        ,       ,      ,      ,       ,          ,    ,        ,           ,            ,        ,        ,1.000       ,1.000      ,           ,0.900         ,          ,              ,       ,0.900    ,            ,        ,        ,        ,         ,         ,         ,        ,          ,         ,      ,        ,       ,        ,          ,       ,       ,1.000      ,         ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
5    ,Жмых подсол       ,кг.       ,13.000   ,0.920          ,1.000             ,0.331         ,0.192    ,10.672 ,2.548    ,6.532   ,1.560     ,0.176           ,                  ,0.299 ,           ,0.166 ,           ,0.032 ,           ,100.280 ,61.640  ,9.200   ,66.240  ,4.140   ,12.144 ,0.092   ,16.100 ,      ,      ,       ,          ,    ,        ,1.000      ,9.935       ,        ,        ,1.000       ,1.000      ,           ,0.920         ,          ,              ,       ,0.920    ,            ,        ,        ,        ,         ,         ,         ,        ,0.097     ,953.120  ,0.107 ,159.160 ,       ,128.800 ,          ,20.240 ,       ,           ,         ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
6    ,Белков М          ,кг.       ,23.950   ,0.900          ,1.000             ,0.355         ,         ,10.800 ,2.579    ,7.020   ,1.676     ,0.102           ,                  ,0.257 ,           ,0.175 ,           ,0.016 ,           ,65.049  ,89.806  ,20.388  ,69.223  ,7.110   ,7.560  ,0.194   ,19.350 ,      ,      ,       ,          ,    ,        ,0.971      ,23.252      ,        ,        ,0.971       ,0.971      ,           ,0.900         ,          ,              ,       ,0.900    ,            ,        ,        ,        ,         ,         ,         ,        ,          ,         ,      ,        ,       ,        ,          ,       ,       ,           ,         ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
7    ,Белков            ,кг.       ,35.000   ,0.920          ,1.000             ,0.414         ,0.262    ,12.972 ,3.098    ,8.280   ,1.977     ,0.065           ,                  ,0.208 ,           ,0.086 ,           ,0.008 ,           ,65.320  ,92.000  ,15.640  ,60.720  ,5.796   ,6.348  ,0.197   ,15.600 ,      ,      ,       ,          ,    ,        ,1.000      ,33.733      ,        ,        ,1.000       ,1.000      ,           ,0.920         ,          ,              ,       ,0.920    ,            ,        ,        ,        ,         ,         ,         ,        ,0.258     ,1175.760 ,0.224 ,162.840 ,       ,340.400 ,          ,24.840 ,       ,           ,         ,0.072 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
8    ,                  ,          ,         ,               ,                  ,              ,         ,       ,         ,        ,          ,                ,                  ,      ,           ,      ,           ,      ,           ,        ,        ,        ,        ,        ,       ,        ,       ,      ,      ,       ,          ,    ,        ,           ,            ,        ,        ,            ,           ,           ,              ,          ,              ,       ,         ,            ,        ,        ,        ,         ,         ,         ,        ,          ,         ,      ,        ,       ,        ,          ,       ,       ,           ,         ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
