09.01.2019 20:54:43         rationAll
   ,Компонент          ,/ ,Компонент            ,Минимум ,Максимум ,Решение
1  ,1. Сухое Вещество  ,/ ,2. Натуральное Вещес ,0.470   ,0.500    ,0.476
2  ,3. Сырой протеин   ,/ ,1. Сухое Вещество    ,0.165   ,0.167    ,0.166
3  ,4. иСП(nXP)        ,/ ,1. Сухое Вещество    ,0.152   ,         ,0.159
4  ,7. ЧЭЛ Мдж         ,/ ,1. Сухое Вещество    ,7.250   ,7.500    ,7.301
5  ,8. ЧЭЛ Мкалл       ,/ ,1. Сухое Вещество    ,1.730   ,1.900    ,1.743
6  ,11. NDF            ,/ ,1. Сухое Вещество    ,0.310   ,0.350    ,0.321
7  ,12. Forage NDF     ,/ ,11. NDF              ,0.000   ,         ,0.675
8  ,13. ADF            ,/ ,1. Сухое Вещество    ,0.165   ,         ,0.168
9  ,9. Сырая клетчатка ,/ ,1. Сухое Вещество    ,0.000   ,         ,0.149
10 ,19. Крахмал        ,/ ,1. Сухое Вещество    ,205.000 ,290.000  ,242.567
11 ,18. Сахар          ,/ ,1. Сухое Вещество    ,0.000   ,50.000   ,55.312
12 ,39. Грубые СВ      ,/ ,1. Сухое Вещество    ,0.460   ,         ,0.453
13 ,38. Концентрат СВ  ,/ ,1. Сухое Вещество    ,0.000   ,         ,0.547
14 ,20. Зола           ,/ ,1. Сухое Вещество    ,0.000   ,         ,72.243
15 ,17. Жир            ,/ ,1. Сухое Вещество    ,40.000  ,50.000   ,48.083
16 ,21. Кальций        ,/ ,1. Сухое Вещество    ,8.800   ,9.650    ,6.263
17 ,44. Magn           ,/ ,1. Сухое Вещество    ,0.000   ,         ,2.380
18 ,24. Калий          ,/ ,1. Сухое Вещество    ,0.000   ,         ,13.376
19 ,23. Натрий         ,/ ,3. Сырой протеин     ,0.000   ,         ,21.456
20 ,62. SP             ,/ ,3. Сырой протеин     ,0.000   ,0.370    ,0.349
