09.01.2019 20:55:59         rationAll
Компонент             ,      ,Минимум ,Максимум ,Решение   ,Альт.Ц
1. Сухое Вещество     ,кг.   ,20.000  ,20.040   ,22.049    ,-368.338
2. Натуральное Вещес  ,кг.   ,        ,         ,46.320    ,1.500
3. Сырой протеин      ,кг.   ,        ,         ,3.658     ,2.000
4. иСП(nXP)           ,кг.   ,        ,         ,3.511     ,2.000
5. ОЭ Мдж             ,Мдж.  ,        ,         ,250.291   ,0.000
7. ЧЭЛ Мдж            ,Мдж.  ,        ,         ,160.967   ,2.000
8. ЧЭЛ Мкалл          ,Мкалл ,        ,         ,38.439    ,2.000
9. Сырая клетчатка    ,кг.   ,        ,         ,3.282     ,0.000
10. Структур клетчатк ,кг.   ,        ,         ,2.480     ,0.000
11. NDF               ,кг.   ,        ,         ,7.073     ,2.000
12. Forage NDF        ,кг.   ,        ,         ,4.777     ,0.000
13. ADF               ,кг.   ,        ,         ,3.696     ,2.000
15. ADL               ,кг.   ,        ,         ,0.494     ,0.000
17. Жир               ,грамм ,        ,         ,1060.167  ,2.000
18. Сахар             ,грамм ,        ,         ,1219.555  ,1.000
19. Крахмал           ,грамм ,        ,         ,5348.264  ,2.000
20. Зола              ,грамм ,        ,         ,1592.860  ,0.000
21. Кальций           ,грамм ,180.000 ,200.000  ,138.099   ,0.000
22. Фосфор            ,грамм ,        ,         ,95.479    ,0.000
23. Натрий            ,грамм ,        ,         ,78.485    ,0.000
24. Калий             ,грамм ,        ,         ,294.922   ,0.000
25. Вит А             ,мл.IU ,        ,         ,0.160     ,0.000
27. Вит Д3            ,мл.IU ,        ,         ,0.024     ,0.000
28. Вит Е             ,мг.   ,        ,         ,800.005   ,0.000
30. Добавки           ,кг.   ,        ,         ,0.850     ,0.000
33. Salt              ,грамм ,        ,         ,          ,0.000
35. Концентраты       ,кг.   ,        ,         ,13.068    ,0.000
36. К и Д Н.В.        ,кг.   ,        ,         ,13.068    ,0.000
37. ГрубыйН.В.        ,кг.   ,        ,         ,34.821    ,0.000
38. Концентрат СВ     ,кг.   ,        ,         ,12.071    ,0.000
39. Грубые СВ         ,кг.   ,        ,         ,9.978     ,2.000
40. Вода в кормах     ,кг.   ,        ,         ,0.008     ,0.000
41. Selen             ,мг.   ,        ,         ,4.000     ,0.000
44. Magn              ,грамм ,        ,         ,52.479    ,0.000
45. Na                ,грамм ,        ,         ,78.169    ,0.000
46. Fe                ,мг.   ,        ,         ,4568.975  ,0.000
47. Margn             ,мг.   ,        ,         ,796.771   ,0.000
48. Zn                ,мг.   ,        ,         ,1116.538  ,0.000
49. Cu                ,мг.   ,        ,         ,303.951   ,0.000
50. I                 ,мг.   ,        ,         ,23.438    ,0.000
51. нСП (UDP)         ,кг.   ,        ,         ,1.326     ,0.000
52. VEM               ,ед.   ,        ,         ,20610.775 ,0.000
53. DVE               ,кг.   ,        ,         ,2.144     ,0.000
54. OEB+              ,+     ,        ,         ,848.664   ,0.000
55. OEB-              ,-     ,        ,         ,560.020   ,0.000
58. RNB+              ,+     ,        ,         ,147.684   ,0.000
59. RNB-              ,-     ,        ,         ,115.630   ,0.000
62. SP                ,кг.   ,        ,         ,1.278     ,1.000
